# Weather station Betul, India, WMO_ID=42860,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42860&lang=en
#
"Local time in Betul";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.11.2017 17:30";"26.0";"702.3";"755.8";"";"69";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"19.8";"";"";"";"";"";"";
"22.11.2017 08:30";"19.0";"705.4";"760.5";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"15.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"16.4";"";"";"";"";"";"";
"21.11.2017 17:30";"27.2";"703.3";"756.6";"";"54";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.0";"";"";"";"";"";"";
"21.11.2017 08:30";"19.4";"705.6";"760.7";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"15.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"16.9";"";"";"";"";"";"";
"20.11.2017 17:30";"25.0";"704.1";"757.9";"";"68";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"18.6";"";"";"";"";"";"";
"20.11.2017 08:30";"19.8";"706.3";"763.9";"";"84";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"15.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.0";"";"";"";"";"";"";
"19.11.2017 17:30";"26.6";"703.5";"757.0";"";"56";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"28.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.0";"";"";"";"";"";"";
"19.11.2017 08:30";"19.0";"705.4";"760.5";"";"89";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.1";"";"";"";"";"";"";
"18.11.2017 17:30";"26.6";"722.6";"755.9";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"19.1";"";"";"";"";"";"";
"18.11.2017 08:30";"19.8";"704.2";"758.5";"";"91";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"17.11.2017 17:30";"26.6";"701.4";"754.8";"";"64";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"19.1";"";"";"";"";"";"";
"17.11.2017 08:30";"20.6";"704.0";"758.8";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"16.11.2017 17:30";"26.6";"701.6";"755.0";"";"51";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"27.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.6";"";"";"";"";"";"";
"16.11.2017 08:30";"18.6";"703.8";"758.9";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"15.11.2017 17:30";"25.4";"701.2";"754.9";"";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"15.11.2017 08:30";"26.6";"703.7";"759.2";"";"44";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"11.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.2";"";"";"";"";"";"";
"14.11.2017 17:30";"25.4";"700.3";"753.8";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"14.11.2017 08:30";"16.0";"718.3";"758.8";"";"72";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"13.11.2017 17:30";"24.8";"700.5";"754.2";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"13.11.2017 08:30";"16.0";"703.8";"759.6";"";"74";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"12.11.2017 17:30";"24.6";"701.8";"755.6";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"12.11.2017 08:30";"15.6";"704.8";"760.6";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"11.11.2017 17:30";"25.4";"703.0";"756.7";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"11.11.2017 08:30";"15.4";"705.7";"761.6";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"10.11.2017 17:30";"25.4";"703.3";"757.0";"";"47";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"10.11.2017 11:30";"16.8";"705.2";"760.9";"";"83";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"";"13.8";"";"";"";"";"";"";
"10.11.2017 08:30";"16.8";"705.2";"760.9";"";"83";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"09.11.2017 17:30";"25.8";"702.8";"756.5";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"09.11.2017 08:30";"17.6";"705.4";"760.9";"";"83";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"08.11.2017 17:30";"27.0";"703.3";"756.6";"";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"08.11.2017 08:30";"18.4";"706.3";"761.5";"";"85";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"07.11.2017 17:30";"27.4";"702.9";"756.2";"";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"07.11.2017 08:30";"17.2";"706.0";"761.5";"";"85";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"06.11.2017 17:30";"26.8";"703.5";"757.0";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"06.11.2017 08:30";"16.6";"706.0";"761.5";"";"90";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"05.11.2017 17:30";"26.8";"703.5";"757.0";"";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"05.11.2017 08:30";"17.8";"706.2";"758.7";"";"71";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"04.11.2017 17:30";"26.0";"703.4";"757.0";"";"52";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"04.11.2017 08:30";"17.4";"705.6";"761.1";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"03.11.2017 17:30";"26.8";"702.4";"756.0";"";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"03.11.2017 08:30";"17.2";"705.4";"758.6";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"02.11.2017 17:30";"26.4";"703.1";"756.7";"";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"02.11.2017 08:30";"17.8";"706.0";"761.5";"";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"01.11.2017 17:30";"26.8";"703.9";"757.5";"";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"01.11.2017 08:30";"17.6";"706.3";"761.8";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"31.10.2017 17:30";"27.4";"703.0";"756.4";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"31.10.2017 08:30";"17.2";"705.5";"760.9";"";"77";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"12.7";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.1";"";"";"";"";"";"";
"30.10.2017 17:30";"28.4";"703.7";"757.0";"";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"30.10.2017 08:30";"18.2";"706.9";"762.4";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"29.10.2017 17:30";"25.8";"702.7";"758.6";"";"59";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"17.2";"";"";"";"";"";"";
"29.10.2017 08:30";"19.3";"706.3";"761.5";"";"78";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"14.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"15.3";"";"";"";"";"";"";
"28.10.2017 17:30";"27.4";"703.8";"757.3";"";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"28.10.2017 08:30";"19.0";"705.5";"760.6";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"27.10.2017 17:30";"27.6";"703.3";"755.6";"";"42";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"13.7";"";"";"";"";"";"";
"27.10.2017 08:30";"19.4";"706.0";"761.1";"";"86";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"14.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"16.9";"";"";"";"";"";"";
"26.10.2017 17:30";"27.6";"704.0";"757.5";"";"46";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"26.10.2017 08:30";"19.0";"706.3";"761.4";"";"80";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"25.10.2017 17:30";"27.6";"704.3";"757.8";"";"41";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"25.10.2017 08:30";"19.4";"706.3";"761.4";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"24.10.2017 17:30";"27.8";"703.0";"756.4";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"24.10.2017 08:30";"22.0";"705.1";"760.0";"";"77";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"17.7";"";"";"";"";"";"";
"23.10.2017 17:30";"28.4";"701.5";"754.6";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"23.10.2017 08:30";"22.0";"703.6";"758.2";"";"78";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"22.10.2017 17:30";"27.8";"700.2";"753.3";"";"82";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"";"30.8";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrostratus not progressively invading the sky and not entirely covering it.";"2.0";"24.5";"";"";"";"";"";"";
"22.10.2017 08:30";"23.4";"699.8";"751.6";"";"88";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"21.3";"";"";"";"";"";"";
"21.10.2017 17:30";"29.6";"699.7";"752.4";"";"66";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"30.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.5";"";"";"";"";"";"";
"21.10.2017 08:30";"24.4";"701.8";"755.5";"";"89";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"20.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"22.4";"";"";"";"";"";"";
"20.10.2017 17:30";"29.2";"698.8";"751.5";"";"69";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"23.0";"";"";"";"";"";"";
"20.10.2017 08:30";"23.2";"700.9";"754.9";"";"82";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"17.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"19.9";"";"";"";"";"";"";
"19.10.2017 17:30";"27.4";"699.3";"752.4";"";"67";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole, but the continuous veil does not reach 45 degrees above the horizon.";"4.0";"20.7";"";"";"";"";"";"";
