# Weather station Salem, India, WMO_ID=43325,selection from 11.07.2013 till 14.06.2018, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43325&lang=en
#
"Local time in Salem";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.05.2018 17:30";"27.0";"729.7";"752.8";"";"80";"Wind blowing from the south-southeast";"3";"";"";"100%.";"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"32.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"23.2";"";"";"";"";"";"";
"25.05.2018 08:30";"25.8";"730.8";"754.1";"1.6";"86";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"25.05.2018 05:30";"24.0";"729.2";"752.6";"";"91";"Calm, no wind";"0";"";"";"60%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.5";"";"";"";"";"";"";
"24.05.2018 17:30";"35.4";"727.9";"750.3";"";"45";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"35.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"21.7";"";"";"";"";"";"";
"24.05.2018 08:30";"28.0";"731.1";"754.2";"1.2";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"25.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.1";"";"";"";"";"";"";
"24.05.2018 05:30";"26.2";"729.9";"753.1";"";"75";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.4";"";"";"";"";"";"";
"23.05.2018 17:30";"35.0";"727.7";"750.2";"";"45";"Wind blowing from the south-southeast";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"36.8";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.2";"";"";"";"";"";"";
"23.05.2018 08:30";"29.0";"732.1";"755.2";"1.1";"71";"Wind blowing from the west-southwest";"2";"";"";"50%.";" ";"";"";"26.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"23.05.2018 05:30";"27.4";"731.0";"754.4";"";"74";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.4";"";"";"";"";"";"";
"22.05.2018 17:30";"36.0";"728.8";"751.3";"";"43";"Wind blowing from the south-southeast";"2";"";"";"70 – 80%.";" ";"";"";"";"36.7";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.7";"";"";"";"";"";"";
"22.05.2018 08:30";"27.0";"732.6";"755.8";"1.7";"74";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"21.9";"";"";"";"";"";"";
"22.05.2018 05:30";"24.6";"730.9";"754.3";"";"82";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.3";"";"";"";"";"";"";
"21.05.2018 17:30";"29.2";"729.1";"752.0";"";"64";"Wind blowing from the north-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Rain.";"Drizzle.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"21.8";"";"";"";"";"";"";
"21.05.2018 08:30";"28.0";"732.1";"755.2";"1.7";"63";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"25.7";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"21.05.2018 05:30";"27.0";"730.4";"753.6";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.3";"";"";"";"";"";"";
"20.05.2018 17:30";"32.6";"729.1";"751.7";"";"54";"Wind blowing from the south-southwest";"3";"";"";"60%.";" ";"";"";"";"35.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.1";"";"";"";"";"";"";
"20.05.2018 08:30";"27.4";"731.7";"754.9";"1.1";"77";"Wind blowing from the south-southwest";"2";"";"";"50%.";" ";"";"";"23.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.0";"";"";"";"";"";"";
"20.05.2018 05:30";"25.8";"730.6";"754.0";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.6";"";"";"";"";"";"";
"19.05.2018 17:30";"24.0";"728.6";"752.0";"";"91";"Calm, no wind";"0";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.5";"";"";"";"";"";"";
"19.05.2018 08:30";"29.0";"732.1";"755.2";"0.9";"70";"Wind blowing from the south-west";"2";"";"";"60%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"22.9";"";"";"";"";"";"";
"19.05.2018 05:30";"26.6";"731.2";"754.3";"";"68";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.2";"";"";"";"";"";"";
"18.05.2018 17:30";"34.6";"729.1";"751.7";"";"41";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"35.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"19.5";"";"";"";"";"";"";
"18.05.2018 08:30";"27.6";"732.4";"755.6";"1.3";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"25.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.2";"";"";"";"";"";"";
"18.05.2018 05:30";"26.4";"731.1";"754.3";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.6";"";"";"";"";"";"";
"17.05.2018 17:30";"34.8";"729.6";"752.2";"";"47";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"35.6";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"22.0";"";"";"";"";"";"";
"17.05.2018 08:30";"26.6";"733.0";"756.3";"2.1";"81";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"10.0";"23.1";"";"";"";"";"";"";
"17.05.2018 05:30";"25.0";"730.9";"754.3";"";"87";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.6";"";"";"";"";"";"";
"16.05.2018 17:30";"25.0";"730.3";"753.7";"";"91";"Calm, no wind";"0";"";"";"100%.";"Drizzle (not freezing) or snow grains not falling as shower(s). ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"300-600";"Altostratus opacus or Nimbostratus.";"";"4.0";"23.5";"";"";"";"";"";"";
"16.05.2018 08:30";"28.6";"732.7";"755.8";"1.5";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"24.3";"";"";"";"";"";"";
"16.05.2018 05:30";"26.0";"731.2";"754.6";"";"87";"Calm, no wind";"0";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Drizzle.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"23.7";"";"";"";"";"";"";
"15.05.2018 17:30";"35.4";"729.2";"751.7";"";"35";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"";"35.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.9";"";"";"";"";"";"";
"15.05.2018 08:30";"27.6";"734.4";"757.6";"2.3";"73";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.7";"";"Stratocumulus cumulogenitus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.3";"";"";"";"";"";"";
"15.05.2018 05:30";"26.2";"732.1";"755.4";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"14.05.2018 17:30";"25.6";"730.5";"753.8";"";"84";"Calm, no wind";"0";"";"";"100%.";"Thunderstorm, but no precipitation at the time of observation. ";"Thunderstorm(s) with or without precipitation.";"Rain.";"";"37.6";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"50%.";"300-600";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"4.0";"22.6";"";"";"";"";"";"";
"14.05.2018 08:30";"30.0";"734.0";"757.1";"1.6";"66";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"23.0";"";"";"";"";"";"";
"14.05.2018 05:30";"28.2";"732.4";"755.5";"";"66";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"21.3";"";"";"";"";"";"";
"13.05.2018 17:30";"35.2";"730.0";"752.5";"";"43";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"37.3";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.7";"";"";"";"";"";"";
"13.05.2018 08:30";"28.6";"733.6";"756.8";"1.5";"61";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.4";"";"";"";"";"";"";
"13.05.2018 05:30";"27.2";"732.1";"755.2";"";"69";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"20.9";"";"";"";"";"";"";
