"Local time in Sundernagar","T","Po","P","Pa","U","DD","Ff","ff10","ff3","N","WW","W1","W2","Tn","Tx","Cl","Nh","H","Cm","Ch","VV","Td","RRR","tR","E","Tg","E'","sss"," "
"17.12.2017 08:30","2.5","693.1","","0.8","95","Calm, no wind","0","","","no clouds","Fog or ice fog, sky visible, no appreciable change during the preceding hour. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","0.6","","","","","","","0.2","1.7","","","","","","",
"17.12.2017 05:30","3.0","692.3","","","93","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","2.0","","","","","","",
"16.12.2017 20:30","8.4","691.3","","0.9","79","Calm, no wind","0","","","no clouds"," ","","","","","","","","","","4.0","5.0","","","","","","",
"16.12.2017 17:30","12.4","690.4","","-0.3","63","Calm, no wind","0","","","no clouds"," ","","","","21.4","","","","","","4.0","5.5","","","","","","",
"16.12.2017 14:30","18.0","690.7","","-1.7","47","Calm, no wind","0","","","10%  or less, but not 0","Cloud development not observed or not observable. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","4.0","6.5","","","","","","",
"16.12.2017 11:30","9.2","692.4","","0.3","85","Wind blowing from the north-west","1","","","10%  or less, but not 0","Fog or ice fog. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","6.8","","","","","","",
"16.12.2017 08:30","3.6","692.1","","1.3","100","Wind blowing from the north-northeast","1","","","Sky obscured by fog and/or other meteorological phenomena.","Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","1.7","","","","","","","less than 0.05","3.6","","","","","","",
"16.12.2017 05:30","3.5","690.8","","","99","Calm, no wind","0","","","no clouds","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","","","","","","0.5","3.3","","","","","","",
"15.12.2017 20:30","9.4","691.3","","0.7","87","Calm, no wind","0","","","10%  or less, but not 0","Mist. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","7.4","","","","","","",
"15.12.2017 17:30","13.8","690.6","","","71","Wind blowing from the south-west","1","","","60%.","Haze. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","17.5","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","8.5","","","","","","",
"15.12.2017 11:30","12.8","691.6","","0.5","80","Wind blowing from the north-west","1","","","70 – 80%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","10%  or less, but not 0","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","2.0","9.4","","","","","","",
"15.12.2017 08:30","6.4","691.1","","0.9","99","Calm, no wind","0","","","20–30%.","Fog or ice fog, sky visible (has become thinner during the preceding hour). ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","5.0","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","20–30%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","0.2","6.2","","","","","","",
"15.12.2017 05:30","7.0","690.2","","","97","Calm, no wind","0","","","Sky obscured by fog and/or other meteorological phenomena.","Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","","","","","","less than 0.05","6.6","","","","","","",
"14.12.2017 20:30","10.6","690.5","","0.7","93","Calm, no wind","0","","","50%.","Mist. ","Cloud covering 1/2 or less of the sky throughout the appropriate period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","no clouds","2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","1.0","9.5","","","","","","",
"14.12.2017 17:30","13.4","689.8","","-0.2","85","Calm, no wind","0","","","40%.","Haze. ","Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","15.5","Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","10.9","","","","","","",
"14.12.2017 14:30","15.4","690.0","","-1.5","68","Calm, no wind","0","","","100%.","Haze. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","100%.","2000-2500","Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","","1.0","9.5","","","","","","",
"14.12.2017 11:30","9.4","691.5","","0.4","95","Wind blowing from the north-west","1","","","60%.","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","20–30%.","Less than  50","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.","0.5","8.6","","","","","","",
"14.12.2017 08:30","7.4","691.1","","1.2","100","Wind blowing from the east","1","","","Sky obscured by fog and/or other meteorological phenomena.","Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ","Fog or ice fog or thick haze.","Fog or ice fog or thick haze.","6.3","","","","","","","less than 0.05","7.4","","","","","","",
"14.12.2017 05:30","8.4","689.9","","","97","Calm, no wind","0","","","40%.","Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ","Fog or ice fog or thick haze.","Cloud covering 1/2 or less of the sky throughout the appropriate period.","","","No Stratocumulus, Stratus, Cumulus or Cumulonimbus.","40%.","2500 or more, or no clouds.","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","0.5","8.0","","","","","","",
"13.12.2017 20:30","10.4","689.6","","0.5","93","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Cloud covering more than 1/2 of the sky throughout the appropriate period.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratocumulus other than Stratocumulus cumulogenitus.","50%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","9.3","","","","","","",
"13.12.2017 17:30","12.4","689.1","","-0.8","84","Calm, no wind","0","","","100%.","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","13.5","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus translucidus.","","1.0","9.8","","","","","","",
"13.12.2017 14:30","13.4","689.9","","-1.1","78","Calm, no wind","0","","","90  or more, but not 100%","Mist. ","Fog or ice fog or thick haze.","Cloud covering more than 1/2 of the sky throughout the appropriate period.","","","Stratus nebulosus or Stratus fractus other than of bad weather, or both.","40%.","300-600","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","9.7","","","","","","",
"13.12.2017 11:30","11.0","691.0","","1.3","95","Wind blowing from the north-west","1","","","100%.","Mist. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","100-200","Altostratus opacus or Nimbostratus.","","1.0","10.2","","","","","","",
"13.12.2017 08:30","9.6","689.7","","1.0","99","Calm, no wind","0","","","100%.","Drizzle, not freezing, intermittent, slight at time of observation. ","Rain.","Drizzle.","8.4","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","100-200","Altostratus opacus or Nimbostratus.","","1.0","9.4","","","","","","",
"13.12.2017 05:30","9.4","688.7","","","100","Wind blowing from the north-west","1","","","100%."," ","","","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","100-200","Altostratus opacus or Nimbostratus.","","2.0","9.4","","","","","","",
"12.12.2017 20:30","10.4","689.3","","1.0","95","Calm, no wind","0","","","60%."," ","","","","","Stratocumulus other than Stratocumulus cumulogenitus.","40%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","2.0","9.6","","","","","","",
"12.12.2017 17:30","11.6","688.3","","0.2","93","Calm, no wind","0","","","100%.","Thunderstorm, but no precipitation at the time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","13.9","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","100-200","Altostratus opacus or Nimbostratus.","","1.0","10.5","","","","","","",
"12.12.2017 14:30","12.4","688.1","","-1.1","89","Wind blowing from the north-west","1","","","90  or more, but not 100%","Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ","Thunderstorm(s) with or without precipitation.","Rain.","","","Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.","70 – 80%.","600-1000","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","10.6","","","","","","",
"12.12.2017 11:30","12.5","689.2","","1.5","89","Wind blowing from the north-west","1","","","90  or more, but not 100%","Mist. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","60%.","Less than  50","Altostratus opacus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","10.7","","","","","","",
"12.12.2017 08:30","10.2","687.7","","1.5","95","Wind blowing from the south-southeast","1","","","90  or more, but not 100%","Mist. ","Drizzle.","Fog or ice fog or thick haze.","8.9","","Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.","60%.","600-1000","Altocumulus translucidus at a single level.","No Cirrus, Cirrocumulus or Cirrostratus.","1.0","9.4","","","","","","",
"12.12.2017 05:30","11.0","686.2","","","95","Wind blowing from the north-west","1","","","100%.","Drizzle, not freezing, intermittent, slight at time of observation. ","Rain.","Drizzle.","","","Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.","70 – 80%.","200-300","Altostratus opacus or Nimbostratus.","","1.0","10.2","","","","","","",
"11.12.2017 20:30","12.4","687.3","","0.4","96","Calm, no wind","0","","","100%.","Rain, not freezing, continuous, moderate at time of observation. ","Rain.","Drizzle.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","600-1000","Altostratus opacus or Nimbostratus.","","1.0","11.7","","","","","","",
"11.12.2017 17:30","13.0","686.9","","0.1","93","Wind blowing from the south-southwest","1","","","100%.","Drizzle, not freezing, continuous, slight at time of observation. ","Rain.","Drizzle.","","15.2","Stratocumulus other than Stratocumulus cumulogenitus.","70 – 80%.","1000-1500","Altostratus opacus or Nimbostratus.","","0.5","11.9","","","","","","",
"11.12.2017 14:30","14.6","686.8","","-1.8","81","Wind blowing from the south","1","","","100%.","Drizzle (not freezing) or snow grains not falling as shower(s). ","Drizzle.","Fog or ice fog or thick haze.","","","Stratocumulus other than Stratocumulus cumulogenitus.","60%.","1000-1500","Altostratus opacus or Nimbostratus.","","1.0","11.4","","","","","","",
